USAF   ,WBAN  ,STATION NAME                  ,CTRY ,ST ,CALL  ,LAT     ,LON      ,ELEV(M)
012520 ,99999 ,BERKAK-LYNGHOLT               ,NO   ,   ,      ,+62.817 ,+010.017 ,+0475.0
012530 ,99999 ,SOKNEDAL                      ,NO   ,   ,      ,+62.950 ,+010.183 ,+0299.0
012540 ,99999 ,KOTSOY                        ,NO   ,   ,      ,+62.983 ,+010.550 ,+0127.0
012570 ,99999 ,TRONDHEIM/VOLL                ,NO   ,   ,      ,+63.417 ,+010.450 ,+0131.5
012580 ,99999 ,TRONDHEIM (TYHOLT)            ,NO   ,   ,      ,+63.417 ,+010.433 ,+0113.0
012590 ,99999 ,BUHOLMRASA LH                 ,NO   ,   ,      ,+64.400 ,+010.450 ,+0018.4
012620 ,99999 ,NORDOYAN FYR                  ,NO   ,   ,      ,+64.800 ,+010.550 ,+0033.0
012650 ,99999 ,TYNSET-HANSMOEN               ,NO   ,   ,      ,+62.267 ,+010.733 ,+0482.3
012680 ,99999 ,                              ,     ,   ,      ,        ,         ,       
012700 ,99999 ,KVITHAMAR                     ,NO   ,   ,      ,+63.483 ,+010.883 ,+0040.0
012710 ,99999 ,VAERNES                       ,NO   ,   ,ENVA  ,+63.458 ,+010.940 ,+0017.1
012720 ,99999 ,FROSTA                        ,NO   ,   ,      ,+63.567 ,+010.700 ,+0070.0
012730 ,99999 ,SELBU                         ,NO   ,   ,      ,+63.233 ,+011.017 ,+0160.0
012740 ,99999 ,SELBU-STUBBE                  ,NO   ,   ,      ,+63.200 ,+011.117 ,+0242.0
012770 ,99999 ,STEINKJER                     ,NO   ,   ,      ,+64.017 ,+011.450 ,+0080.0
012771 ,99999 ,LEVANGER-EGGEN                ,NO   ,   ,      ,+63.717 ,+011.233 ,+0097.0
012780 ,99999 ,VERDAL-REPPE                  ,NO   ,   ,      ,+63.783 ,+011.683 ,+0083.0
012800 ,99999 ,NAMDALSEID-VENGSTAD           ,NO   ,   ,      ,+64.133 ,+011.333 ,+0118.0
012810 ,99999 ,NAMSSKOGAN                    ,NO   ,   ,      ,+64.733 ,+012.850 ,+0140.0
012820 ,99999 ,RORVIK/RYUM                   ,NO   ,   ,ENRM  ,+64.850 ,+011.233 ,+0014.0
012823 ,99999 ,RORVIK/RYUM                   ,NO   ,   ,      ,+64.850 ,+011.233 ,+0014.0
012870 ,99999 ,SOLENDET                      ,NO   ,   ,      ,+62.683 ,+011.817 ,+0747.0
012880 ,99999 ,ROROS                         ,NO   ,   ,      ,+62.567 ,+011.383 ,+0630.0
012890 ,99999 ,ROROS LUFTHAVN                ,NO   ,   ,ENRO  ,+62.583 ,+011.350 ,+0626.0
012891 ,99999 ,ROROS/AIRPORT                 ,NO   ,   ,ENRO  ,+62.583 ,+011.383 ,+0626.0
012900 ,99999 ,NAMSOS AIRPORT                ,NO   ,   ,ENNM  ,+64.467 ,+011.583 ,+0002.0
012910 ,99999 ,GARTLAND                      ,NO   ,   ,      ,+64.533 ,+012.383 ,+0095.0
012920 ,99999 ,MERAKER-UTSYN                 ,NO   ,   ,      ,+63.417 ,+011.700 ,+0240.0
012930 ,99999 ,MERAKER-EGGE                  ,NO   ,   ,      ,+63.417 ,+011.733 ,+0171.0
012940 ,99999 ,                              ,     ,   ,      ,        ,         ,       
012950 ,99999 ,HOYLANDET                     ,NO   ,   ,      ,+64.550 ,+012.150 ,+0027.0
012960 ,99999 ,BERG I SNASA                  ,NO   ,   ,      ,+64.250 ,+012.417 ,+0127.0
012980 ,99999 ,NORDLI-HOLAND                 ,NO   ,   ,      ,+64.450 ,+013.717 ,+0433.0
